연번,구분,구,구역명,유형,주소,면적_m2,세대수,추진현황,추진일자,촉진지구,추진지구,비고,상태,단계_순서,통학영향_임박도,전체주소,lat,lon,지오코딩방식,오류,slope_point,slope_300m_mean,slope_300m_max,slope_500m_mean,slope_500m_max
1,재개발,동구,대동4·8,,대동 405-7,137835.8,2213.0,사업시행인가,24.12.13.,False,,,진행,5,3_사업시행,대전광역시 동구 대동 405-7,36.33241970494448,127.44683255875064,parcel,,1.9664485454559326,3.3868377208709717,19.920305252075195,5.018401145935059,36.39989471435547
2,재개발,동구,성남동1,,성남동 1-97,66097.1,1213.0,착공,24.02.20.,False,,,진행,7,1_공사중,대전광역시 동구 성남동 1-97,36.34535246939657,127.43709783272936,parcel,,3.3941965103149414,3.35891056060791,18.18854522705078,2.76831316947937,23.470922470092773
3,재개발,동구,성남동3,,성남동 35-5,159786.9,2856.0,조합설립인가,21.01.26.,False,,,진행,4,4_조합설립,대전광역시 동구 성남동 35-5,36.34327922153284,127.43739161430597,parcel,,2.396742343902588,2.755127429962158,18.743396759033203,2.6281650066375732,23.62359046936035
4,재개발,동구,중앙1,,소제동 299-264,23362.0,558.0,관리처분인가,24.02.21.,True,대전역세권,,진행,6,2_관리처분,대전광역시 동구 소제동 299-264,36.33549908055126,127.43559877905928,parcel,,5.387263774871826,3.7568726539611816,43.146888732910156,3.5230767726898193,43.146888732910156
5,재개발,동구,대전역복합2,,소제동 291-1,101772.0,1184.0,사업시행인가,24.03.19.,True,대전역세권,,진행,5,3_사업시행,대전광역시 동구 소제동 291-1,36.33377495856742,127.43682584310002,parcel,,0.608642041683197,2.357102394104004,35.65131378173828,3.5893094539642334,43.146888732910156
6,재개발,동구,대전역복합3,,정동 1-208,35490.0,,준공,19.04.18.,True,대전역세권,,완료,8,0_완료,대전광역시 동구 정동 1-208,36.3355609840621,127.4316881172236,parcel,,8.89665699005127,2.6478841304779053,43.146888732910156,2.231816291809082,43.146888732910156
7,재개발,동구,대전역삼성4,,삼성동 80-100,139056.0,1350.0,관리처분인가,24.12.18.,True,대전역세권,,진행,6,2_관리처분,대전광역시 동구 삼성동 80-100,36.338067756066415,127.43592776843666,parcel,,2.009277105331421,4.380086421966553,43.146888732910156,3.3633673191070557,43.146888732910156
8,재개발,동구,신안1,,신안동 281-12,41184.0,774.0,추진위원회,22.04.11.,True,대전역세권,,진행,3,5_초기,대전광역시 동구 신안동 281-12,36.32947678001551,127.43780318302224,parcel,,1.0016863346099854,1.8207851648330688,19.93021011352539,2.176330089569092,35.65131378173828
9,재개발,동구,삼성1,,삼성동 279-1,73390.0,1523.0,사업시행인가,25.02.14.,False,,,진행,5,3_사업시행,대전광역시 동구 삼성동 279-1,36.33445569889363,127.42515152583763,parcel,,0.3222494125366211,1.8307796716690063,14.110204696655273,1.7430769205093384,15.509432792663574
10,재개발,동구,삼성3,,삼성동 361-3,126526.8,1880.0,추진위원회,22.04.11.,False,,,진행,3,5_초기,대전광역시 동구 삼성동 361-3,36.34048954385163,127.42050187903732,parcel,,0.4740448296070099,1.349645972251892,14.248759269714355,1.5722644329071045,15.988585472106934
11,재개발,동구,삼성5,,삼성동 387-7,74700.7,1134.0,조합설립인가,23.03.28.,False,,,진행,4,4_조합설립,대전광역시 동구 삼성동 387-7,36.34341617694223,127.41725378330176,parcel,,0.8769822716712952,1.304582118988037,9.440583229064941,1.7406569719314575,16.313533782958984
12,재개발,동구,삼성6,,삼성동 295-2,14995.0,334.0,조합설립인가,24.03.18.,False,,,진행,4,4_조합설립,대전광역시 동구 삼성동 295-2,36.33891455097592,127.42978227451826,parcel,,0.23883432149887085,2.586892604827881,20.926284790039062,2.966648817062378,43.146888732910156
13,재개발,동구,삼성7,,삼성동 373-7,60115.0,879.0,추진위원회,24.12.30.,False,,,진행,3,5_초기,대전광역시 동구 삼성동 373-7,36.343493785856055,127.4197734260697,parcel,,0.8449962735176086,1.3146589994430542,12.690521240234375,1.5328657627105713,17.019651412963867
14,재개발,동구,가양동1,,가양동 176-14,107468.0,1546.0,조합설립인가,23.12.28.,False,,,진행,4,4_조합설립,대전광역시 동구 가양동 176-14,36.34195231442372,127.4460932455373,parcel,,4.996368408203125,3.6135470867156982,15.291732788085938,2.9679267406463623,21.251222610473633
15,재개발,동구,자양동2,,자양동 209,63567.0,1004.0,조합설립인가,25.08.01.,False,,,진행,4,4_조합설립,대전광역시 동구 자양동 209,36.34269016989132,127.45018585943026,parcel,,3.7649648189544678,3.994241237640381,33.24183654785156,5.654207229614258,36.340476989746094
16,재개발,동구,판암2,,판암동 385-1,28810.0,514.0,추진위원회,25.03.24.,False,,,진행,3,5_초기,대전광역시 동구 판암동 385-1,36.31490474836225,127.45760236348012,parcel,,3.716779947280884,5.159597873687744,32.94025421142578,6.715857982635498,33.58967208862305
17,재개발,동구,판암6,,판암동 565-1,73742.0,1037.0,추진위원회,24.09.13.,True,신흥,,진행,3,5_초기,대전광역시 동구 판암동 565-1,36.32025217816543,127.45115109912544,parcel,,2.977344036102295,10.017975807189941,40.93840026855469,11.056675910949707,40.93840026855469
18,재개발,동구,신흥동5,,신흥동 23-1,92493.0,1437.0,구역지정,26.03.24.,True,신흥,,진행,2,5_초기,대전광역시 동구 신흥동 23-1,36.32163337104869,127.44791896357498,parcel,,1.1724046468734741,5.450509071350098,31.71403694152832,7.428564071655273,43.83149719238281
19,재개발,중구,선화,,선화동 339-55,52737.3,997.0,준공,25.04.29.,True,선화·용두,,완료,8,0_완료,대전광역시 중구 선화동 339-55,36.32855233187327,127.41466010264712,parcel,,5.0943922996521,5.255221843719482,28.200761795043945,4.52260684967041,33.76036071777344
20,재개발,중구,선화B,,선화동 207-16,46384.9,862.0,준공,24.02.28.,True,선화·용두,,완료,8,0_완료,대전광역시 중구 선화동 207-16,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND",,,,,
21,재개발,중구,용두동3,,용두동 53-31,106584.0,1991.0,조합설립인가,24.06.07.,True,선화·용두,,진행,4,4_조합설립,대전광역시 중구 용두동 53-31,36.32753513468843,127.41263572244566,parcel,,8.338130950927734,5.356274127960205,27.961688995361328,4.442318439483643,33.76036071777344
22,재개발,중구,대사동1,,대사동 167-4,64661.0,1080.0,사업시행인가,23.06.30.,False,,,진행,5,3_사업시행,대전광역시 중구 대사동 167-4,36.31438914733353,127.42686262454704,parcel,,7.374629497528076,7.917625904083252,34.70343017578125,9.341203689575195,43.45695495605469
23,재개발,중구,대사동3,,대사동 250-14,37103.0,,,,False,,,진행,0,9_미정,대전광역시 중구 대사동 250-14,36.31697239857333,127.4189047605795,parcel,,4.401834487915039,9.056473731994629,39.42262649536133,10.363531112670898,39.6485481262207
24,재개발,중구,대사동4,,대사동 78-10,20758.0,,,,False,,,진행,0,9_미정,대전광역시 중구 대사동 78-10,36.31435310230111,127.4220358880048,road,,13.903651237487793,18.04123306274414,43.45695495605469,15.402191162109375,44.42934036254883
25,재개발,중구,대흥동1,,대흥동 112-9,55878.0,862.0,조합설립인가,20.10.26.,False,,,진행,4,4_조합설립,대전광역시 중구 대흥동 112-9,36.31879249588802,127.42427138700532,parcel,,3.758115291595459,7.324310302734375,34.955108642578125,5.87579870223999,38.331851959228516
26,재개발,중구,대흥2,,대흥동 385-15,59688.0,1278.0,착공,24.07.01.,False,,,진행,7,1_공사중,대전광역시 중구 대흥동 385-15,36.32055552723618,127.427094919429,parcel,,2.7359395027160645,1.7643190622329712,15.414071083068848,2.6094653606414795,33.15980911254883
27,재개발,중구,대흥4,,대흥동 260-9,51054.0,909.0,관리처분인가,24.12.31.,False,,,진행,6,2_관리처분,대전광역시 중구 대흥동 260-9,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND",,,,,
28,재개발,중구,문화동5,,문화동 284-46,12121.0,,,,False,,,진행,0,9_미정,대전광역시 중구 문화동 284-46,36.31401736468892,127.40518540404972,parcel,,3.091780424118042,3.413538694381714,22.633901596069336,2.6905617713928223,22.633901596069336
29,재개발,중구,문화동7,,문화동 372-13,24268.0,,,,False,,,진행,0,9_미정,대전광역시 중구 문화동 372-13,36.31458001186204,127.40402046366935,parcel,,1.767768144607544,2.602393388748169,19.890581130981445,2.455146312713623,22.633901596069336
30,재개발,중구,문화동8,,문화동 435-42,100589.3,1746.0,착공,24.04.05.,False,,,진행,7,1_공사중,대전광역시 중구 문화동 435-42,36.31051104105946,127.40598300577388,parcel,,6.6888041496276855,4.183784008026123,21.591350555419922,5.13668966293335,34.58741760253906
31,재개발,중구,문화2,,문화동 330,39287.0,749.0,착공,23.03.,False,,,진행,7,1_공사중,대전광역시 중구 문화동 330,36.31734389995247,127.40470976509502,parcel,,0.26831817626953125,1.5316476821899414,9.129496574401855,1.7823371887207031,22.633901596069336
32,재개발,중구,부사동4,,부사동 244-3,55795.0,826.0,사업시행인가,24.11.08.,False,,,진행,5,3_사업시행,대전광역시 중구 부사동 244-3,36.31320104090332,127.42938336326525,parcel,,13.06134033203125,6.17082405090332,33.901824951171875,7.910024642944336,41.096595764160156
33,재개발,중구,부사동5,,부사동 424-35,40261.0,,,,False,,,진행,0,9_미정,대전광역시 중구 부사동 424-35,36.30961950658321,127.43039559584778,parcel,,13.097265243530273,15.66528606414795,45.239864349365234,15.650321960449219,45.239864349365234
34,재개발,중구,산성동1,,산성동 109-1,53153.0,968.0,조합설립인가,25.03.27.,False,,,진행,4,4_조합설립,대전광역시 중구 산성동 109-1,36.310213048352765,127.39496242656682,parcel,,1.5615382194519043,1.275088906288147,8.246352195739746,1.5655473470687866,12.815434455871582
35,재개발,중구,산성동2,,산성동 133-24,93991.7,1665.0,사업시행인가,25.12.19.,False,,,진행,5,3_사업시행,대전광역시 중구 산성동 133-24,36.31134709846114,127.39101857909044,parcel,,0.15233363211154938,1.058693766593933,5.80925989151001,1.4238706827163696,20.033037185668945
36,재개발,중구,옥계동2,,옥계동 173-168,110402.6,1508.0,조합설립인가,22.08.10.,False,,,진행,4,4_조합설립,대전광역시 중구 옥계동 173-168,36.29619269074302,127.45308265897708,parcel,,6.526059150695801,10.721393585205078,45.02190399169922,10.959404945373535,45.588050842285156
37,재개발,중구,용두동1,,용두동 167-9,22166.0,474.0,준공,24.07.30.,False,,,완료,8,0_완료,대전광역시 중구 용두동 167-9,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND",,,,,
38,재개발,중구,용두동2,,용두동 182-72,42440.0,794.0,관리처분인가,23.06.30.,False,,,진행,6,2_관리처분,대전광역시 중구 용두동 182-72,36.33493287980316,127.40225464318948,parcel,,14.904794692993164,5.243574142456055,40.49053192138672,4.373985767364502,40.99125671386719
39,재개발,중구,태평동2,,태평동 263-5,38588.0,667.0,조합설립인가,21.03.18.,False,,,진행,4,4_조합설립,대전광역시 중구 태평동 263-5,36.32583816710435,127.4012792305835,parcel,,1.8289886713027954,1.8361403942108154,25.61032485961914,1.4202451705932617,25.61032485961914
40,재개발,중구,선화1,,선화동 235-35,55158.0,1340.0,구역지정,14.03.07.,False,,,진행,2,5_초기,대전광역시 중구 선화동 235-35,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND",,,,,
41,재개발,중구,선화1-A,,선화동 63,28810.0,602.0,추진위원회,08.04.17.,False,,,진행,3,5_초기,대전광역시 중구 선화동 63,36.32835688372036,127.4242815981858,parcel,,0.6709215641021729,1.2074058055877686,6.079080581665039,1.5393402576446533,20.916297912597656
42,재개발,중구,선화2,,선화동 136-2,59311.9,1536.0,관리처분인가,22.05.11.,False,,,진행,6,2_관리처분,대전광역시 중구 선화동 136-2,36.33227746143966,127.42051577199015,parcel,,4.683926582336426,1.4540586471557617,11.681917190551758,1.90213942527771,23.63678741455078
43,재개발,중구,은행1,,은행동 1-1,83119.7,2580.0,사업시행인가,25.03.12.,False,,,진행,5,3_사업시행,대전광역시 중구 은행동 1-1,36.33234167721457,127.4249628295571,parcel,,2.56823468208313,1.8168461322784424,14.110204696655273,1.622188687324524,17.790407180786133
44,재개발,중구,오류동1,,오류동 179-2,18370.0,312.0,사업시행인가,25.04.21.,False,,,진행,5,3_사업시행,대전광역시 중구 오류동 179-2,36.32620587586574,127.40361697390097,parcel,,2.2208189964294434,1.8695523738861084,25.61032485961914,1.6408239603042603,33.98106002807617
45,재개발,중구,유천동1,,유천동 127-27,98048.0,1550.0,구역지정,25.02.27.,False,,,진행,2,5_초기,대전광역시 중구 유천동 127-27,36.31845942541152,127.40231436671776,parcel,,0.27798140048980713,1.077659010887146,8.256887435913086,1.1622421741485596,9.129496574401855
46,재개발,중구,유천동3,,유천동 276-1,95309.0,1588.0,조합설립인가,24.04.24.,False,,,진행,4,4_조합설립,대전광역시 중구 유천동 276-1,36.31309233359328,127.39502815277343,parcel,,0.3942709267139435,1.0506945848464966,5.542924404144287,1.1967641115188599,10.874256134033203
47,재개발,중구,호동,,호동 19-7,37057.9,644.0,조합설립인가,24.10.14.,False,,,진행,4,4_조합설립,대전광역시 중구 호동 19-7,36.30376261743067,127.44815768749336,parcel,,2.876725912094116,7.101279258728027,37.39244842529297,7.396231174468994,37.98299789428711
48,재개발,중구,문창동2,,문창동 5-1,85151.0,1306.0,조합설립인가,25.09.12.,False,,,진행,4,4_조합설립,대전광역시 중구 문창동 5-1,36.319164630858666,127.43512827072853,parcel,,1.7244223356246948,1.5239583253860474,13.268418312072754,1.3669568300247192,14.428974151611328
49,재개발,중구,문창석교1,,문창동 382-6,72796.3,1224.0,추진위원회,25.01.21.,False,,,진행,3,5_초기,대전광역시 중구 문창동 382-6,36.31280501255836,127.43735227141796,parcel,,0.36546269059181213,1.50684654712677,13.863292694091797,3.549269199371338,36.6474723815918
50,재개발,서구,도마·변동1,,가장동 38-1,105527.5,1779.0,착공,23.12.28.,True,도마·변동,,진행,7,1_공사중,대전광역시 서구 가장동 38-1,36.3296227136437,127.38317689934232,parcel,,1.0141711235046387,1.2440732717514038,7.929611682891846,1.4353160858154297,25.099151611328125
51,재개발,서구,도마·변동2,,변동 3-4,69677.6,1074.0,조합설립인가,22.11.11.,True,도마·변동,,진행,4,4_조합설립,대전광역시 서구 변동 3-4,36.3266876665669,127.38628206647084,parcel,,1.2826167345046997,1.8010746240615845,17.707687377929688,1.7299476861953735,17.707687377929688
52,재개발,서구,도마·변동3,,변동 9-4,192992.0,3404.0,관리처분인가,23.03.31.,True,도마·변동,,진행,6,2_관리처분,대전광역시 서구 변동 9-4,36.32610737237103,127.38358531420702,parcel,,0.36321693658828735,1.0972031354904175,8.00837230682373,1.5031721591949463,17.707687377929688
53,재개발,서구,도마·변동4,,변동 63-5,182001.0,3045.0,사업시행인가,24.12.05.,True,도마·변동,,진행,5,3_사업시행,대전광역시 서구 변동 63-5,36.323023752134,127.37970212884196,parcel,,0.8646737337112427,1.709982991218567,22.4487247467041,2.2841336727142334,35.6592903137207
54,재개발,서구,도마·변동5,,도마동 85-19,157548.0,2622.0,사업시행인가,24.04.30.,True,도마·변동,,진행,5,3_사업시행,대전광역시 서구 도마동 85-19,36.319720356479785,127.38271701011944,parcel,,0.649255633354187,1.624234914779663,13.69175910949707,1.7404788732528687,16.594615936279297
55,재개발,서구,도마·변동6,,도마동 86-66,28958.0,528.0,관리처분인가,25.03.17.,True,도마·변동,,진행,6,2_관리처분,대전광역시 서구 도마동 86-66,36.31821646945582,127.38300921514347,parcel,,0.5966277122497559,1.9879965782165527,16.594615936279297,1.8237268924713135,17.412879943847656
56,재개발,서구,도마·변동6-1,,도마동 96-26,68005.9,1110.0,조합설립인가,24.01.29.,True,도마·변동,,진행,4,4_조합설립,대전광역시 서구 도마동 96-26,36.31848581033596,127.37951297739276,parcel,,1.2230181694030762,1.4476691484451294,10.393830299377441,2.0339138507843018,19.143003463745117
57,재개발,서구,도마·변동8,,도마동 179-30,102743.0,1881.0,준공,22.07.28.,True,도마·변동,,완료,8,0_완료,대전광역시 서구 도마동 179-30,,,실패,"parcel=NOT_FOUND, road=NOT_FOUND",,,,,
58,재개발,서구,도마·변동9,,도마동 181-1,44014.0,818.0,착공,23.11.13.,True,도마·변동,,진행,7,1_공사중,대전광역시 서구 도마동 181-1,36.31168172764688,127.38264314432948,parcel,,1.7789716720581055,3.373196840286255,34.3160514831543,4.3819050788879395,50.12954330444336
59,재개발,서구,도마·변동11,,도마동 145-8,76129.0,1558.0,준공,26.01.07.,True,도마·변동,준공전 사용허가 25.01.22,완료,8,0_완료,대전광역시 서구 도마동 145-8,36.31419880402473,127.3784657234712,parcel,,1.041155219078064,2.3213844299316406,19.143003463745117,2.624664545059204,22.79281997680664
