학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권,_원_외곽도m,_원_학생수,_원_학교밀도,적격성_외곽도,적격성_학교규모,적격성_학교밀도,적격성_시내버스접근성,적격성_현재운영,적격성점수,적격성순위,현행운영여부
초,공립,동구,산흥초등학교,대전광역시 동구 산내로 509(상소동. 산흥초등학교),본교,54,127.4483897,36.228975,산내동,옥계동2,7467.662036045803,1.5km 초과,14581.075692340328,54.0,0,1.0,0.9705698184095178,1.0,1.0,1.0,0.9926,1,Y
초,공립,유성구,남선초등학교,대전광역시 유성구 계백로93번길 277-29(송정동. 남선초등학교),본교,44,127.2646541,36.2873073,진잠동,정림동1,9558.46248761252,1.5km 초과,12847.407360342468,44.0,0,0.8784100996564105,0.9768315591734502,1.0,0.8784100996564105,1.0,0.9456,2,Y
초,공립,서구,기성초등학교,대전광역시 서구 기성초교길 42(매노동),본교,33,127.3380289,36.2487568,기성동,정림동1,7077.843471450976,1.5km 초과,11995.724712846366,33.0,0,0.8186777931234309,0.9837194740137758,1.0,0.8186777931234309,1.0,0.9234,3,Y
초,공립,동구,세천초등학교,대전광역시 동구 옥천로 610-12(세천동.세천초등학교),본교,47,127.4937835,36.3415266,대청동,자양동2,3914.439023324797,1.5km 초과,9806.568850928797,47.0,0,0.6651425187146286,0.9749530369442705,1.0,0.6651425187146286,1.0,0.8598,4,Y
초,공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동),본교,384,127.4358676,36.4540033,신탄진동,신탄진동1,926.0925215879312,1km 이내,12405.24465415057,384.0,3,0.84739925496989,0.7639323731997495,0.85,0.84739925496989,1.0,0.8499,5,Y
초,공립,중구,산서초등학교,대전광역시 중구 남달미로 87(목달동. 산서초등학교),본교,57,127.4093374,36.2668849,산성동,문화동10,4538.284394431767,1.5km 초과,9474.53404867456,57.0,0,0.6418554356136922,0.9686912961803381,1.0,0.6418554356136922,1.0,0.8489,6,Y
초,공립,동구,산내초등학교,대전광역시 동구 산내로 1292(낭월동. 산내초등학교),본교,395,127.4700311,36.2792732,산내동,옥계동2,2416.274967701872,1.5km 초과,10945.73083023324,395.0,0,0.7450370342816376,0.7570444583594239,1.0,0.7450370342816376,1.0,0.8373,7,Y
초,공립,대덕구,장동초등학교,대전광역시 대덕구 장동로 223-37(장동. 대전장동초등학교),본교,38,127.4358274,36.4148625,회덕동,신대주공,2100.325921111048,1.5km 초과,8517.352410405954,38.0,0,0.5747240138418735,0.9805886036318097,1.0,0.5747240138418735,1.0,0.825,8,Y
초,공립,동구,동명초등학교,대전광역시 동구 천개동로 16(추동),본교,46,127.4742921,36.3741217,대청동,비래동2,2645.3665461741166,1.5km 초과,8445.761826349033,46.0,0,0.5697030465551324,0.9755792110206637,1.0,0.5697030465551324,1.0,0.8218,9,Y
초,공립,서구,기성초등학교길헌분교장,대전광역시 서구 당고개길 48(평촌동. 기성초등학교 길헌분교장),분교장,7,127.3164705,36.241768,기성동,정림동1,8662.578061985647,1.5km 초과,13490.210682017789,7.0,0,0.9234927664967061,1.0,1.0,0.9234927664967061,0.0,0.8194,10,
초,공립,유성구,구즉초등학교,대전광역시 유성구 구룡달전로 34(봉산동),본교,418,127.3822122,36.4407059,구즉동,덕암동1,3536.565194868779,1.5km 초과,10064.39512908213,418.0,3,0.683225026705356,0.7426424546023795,0.85,0.683225026705356,1.0,0.779,11,Y
중,공립,서구,기성중학교,대전광역시 서구 장안로 54.(흑석동),본교,29,127.3411563,36.2499908,기성동,정림동1,6847.371381948651,1.5km 초과,11770.816531107934,29.0,0,0.8029039782020266,0.9862241703193487,1.0,0.8029039782020266,0.0,0.7677,12,
중,공립,유성구,대전둔곡중학교,대전광역시 유성구 과학인재4길 10(둔곡동),본교,79,127.3646634,36.4534382,구즉동,덕암동1,5089.064042468478,1.5km 초과,11617.60678579158,79.0,0,0.792158694735255,0.954915466499687,1.0,0.792158694735255,0.0,0.7556,13,
초,공립,유성구,진잠초등학교,대전광역시 유성구 진잠로59번길 53. 진잠초등학교 (원내동. 진잠초등학교),본교,287,127.3151578,36.2991072,진잠동,정림동1,4846.383267750176,1.5km 초과,8435.94219295418,287.0,5,0.5690143518239349,0.8246712586098935,0.75,0.5690143518239349,1.0,0.7338,14,Y
초,공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교),본교,84,127.4347803,36.4470316,신탄진동,신탄진동1,333.551369631059,1km 이내,11651.931123297343,84.0,4,0.7945660137706532,0.9517845961177207,0.8,0.7945660137706532,0.0,0.7158,15,
초,공립,유성구,대전둔곡초등학교,대전광역시 유성구 과학인재4길 10(둔곡동),본교,428,127.3646634,36.4534382,구즉동,덕암동1,5089.064042468478,1.5km 초과,11617.60678579158,428.0,0,0.792158694735255,0.736380713838447,1.0,0.792158694735255,0.0,0.701,16,
중,공립,대덕구,신탄중앙중학교,대전광역시 대덕구 덕암로 233. 24 (덕암동),본교,265,127.4243139,36.4413849,덕암동,덕암동1,695.6789443909959,1km 이내,10732.18280553115,265.0,1,0.7300599578923057,0.8384470882905448,0.95,0.7300599578923057,0.0,0.6916,17,
중,사립,대덕구,신탄진중학교,대전광역시 대덕구 석봉로 15. 신탄진중학교 (석봉동),본교,409,127.4225837,36.4475861,석봉동,덕암동1,164.1666809395215,1km 이내,11336.979384963692,409.0,1,0.7724770422123516,0.7482780212899186,0.95,0.7724770422123516,0.0,0.6861,18,
초,공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교),본교,161,127.4126245,36.4457981,목상동,덕암동1,753.2518583028506,1km 이내,10911.047237224442,161.0,4,0.7426045190538618,0.9035691922354414,0.8,0.7426045190538618,0.0,0.6829,19,
초,공립,유성구,대전계산초등학교,대전광역시 유성구 학하서로 74(계산동),본교,708,127.2993032,36.3438972,학하동,장대A,3449.307479769773,1.5km 초과,7719.433211998089,708.0,2,0.5187623780283811,0.5610519724483407,0.9,0.5187623780283811,1.0,0.6778,20,Y
초,공립,대덕구,신탄진초등학교,대전광역시 대덕구 석봉로3번길 50(석봉동. 신탄진초등학교),본교,263,127.4223133,36.4494593,석봉동,덕암동1,299.4887910622718,1km 이내,11528.460131622403,263.0,5,0.7859064418698506,0.8396994364433312,0.75,0.7859064418698506,0.0,0.6743,21,
초,공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교),본교,149,127.4195224,36.4317546,덕암동,덕암동1,1697.1872436969152,1.5km 초과,9582.314854545526,149.0,2,0.6494145847328898,0.9110832811521603,0.9,0.6494145847328898,0.0,0.6675,22,
중,공립,유성구,대전자운중학교,대전광역시 유성구 자운로97번길 356(신봉동. 자운중학교),본교,98,127.3382419,36.4118922,신성동,도룡동2,4714.861283052451,1.5km 초과,8044.830529709704,98.0,0,0.5415839447043048,0.9430181590482154,1.0,0.5415839447043048,0.0,0.6524,23,
중,공립,유성구,대전송강중학교,대전광역시 유성구 와룡로 122(송강동. 송강중학교),본교,292,127.3816676,36.4376479,구즉동,덕암동1,3665.8392519887975,1.5km 초과,9726.679317205537,292.0,3,0.6595395090358898,0.8215403882279273,0.85,0.6595395090358898,0.0,0.6392,24,
중,공립,유성구,진잠중학교,대전광역시 유성구 진잠로 60-23(원내동. 진잠중학교),본교,209,127.3184051,36.2969898,진잠동,정림동1,4616.091626470098,1.5km 초과,8384.71830978962,209.0,3,0.5654217922009457,0.873512836568566,0.85,0.5654217922009457,0.0,0.6145,25,
초,공립,유성구,대전자운초등학교,대전광역시 유성구 자운로97번길 380(신봉동.자운초등학교),본교,357,127.3387617,36.4123998,신성동,도룡동2,4720.382725821635,1.5km 초과,8068.863483908538,357.0,0,0.5432694830809739,0.7808390732623669,1.0,0.5432694830809739,0.0,0.6125,26,
초,공립,유성구,대전원신흥초등학교,대전광역시 유성구 원신흥로55번길 37(원신흥동. 대전원신흥초등학교),본교,243,127.3425185,36.3409794,원신흥동,장대B,1947.7079635531704,1.5km 초과,3941.122861254441,243.0,6,0.2537726043012112,0.852222917971196,0.7,0.2537726043012112,1.0,0.6046,27,Y
중,공립,대덕구,회덕중학교,대전광역시 대덕구 신탄진로218번길 22(와동. 대전회덕중학교),본교,111,127.4256826,36.4009441,회덕동,신대주공,380.32755621643145,1km 이내,6726.6664160306,111.0,1,0.4491352102719012,0.9348778960551033,0.95,0.4491352102719012,0.0,0.6034,28,
중,공립,동구,동신중학교,대전광역시 동구 동부로 56-22(판암동. 동신중학교),본교,71,127.459643,36.3200355,판암2동,판암2,597.8589983551682,1km 이내,7478.051187040696,71.0,4,0.5018331789321036,0.9599248591108328,0.8,0.5018331789321036,0.0,0.6007,29,
초,공립,유성구,덕송초등학교,대전광역시 유성구 현충원로 265(덕명동),본교,157,127.3019117,36.3611802,학하동,장대A,2743.125889331805,1.5km 초과,7557.25154496244,157.0,3,0.507387853634954,0.9060738885410144,0.85,0.507387853634954,0.0,0.5995,30,
