학교명,학교급,구,최근접_정거장,최근접_공구,거리m,도보권_500m이내,도보권_1km이내
대전대화초등학교,초,대덕구,214,3,495.2,True,True
대전동도초등학교,초,대덕구,214,3,1157.6,False,False
대전동산초등학교,초,대덕구,213,3,908.8,False,True
대전매봉초등학교,초,대덕구,242,1,1024.5,False,False
대전목상초등학교,초,대덕구,244,1,4741.9,False,False
대전법동초등학교,초,대덕구,242,1,876.4,False,True
대전비래초등학교,초,대덕구,210,14,1376.1,False,False
대전새여울초등학교,초,대덕구,244,1,5285.0,False,False
대전석봉초등학교,초,대덕구,244,1,4854.1,False,False
대전송촌초등학교,초,대덕구,242,1,1180.3,False,False
대전양지초등학교,초,대덕구,242,1,493.0,True,True
대전중리초등학교,초,대덕구,242,1,780.7,False,True
대전중원초등학교,초,대덕구,242,1,590.1,False,True
대전화정초등학교,초,대덕구,214,3,161.6,True,True
새일초등학교,초,대덕구,244,1,3097.1,False,False
신탄진용정초등학교,초,대덕구,244,1,5631.9,False,False
신탄진초등학교,초,대덕구,244,1,5034.5,False,False
와동초등학교,초,대덕구,244,1,787.4,False,True
장동초등학교,초,대덕구,244,1,1579.8,False,False
회덕초등학교,초,대덕구,243,1,1004.5,False,False
대전가양초등학교,초,동구,208,13,498.9,True,True
대전가오초등학교,초,동구,205,13,2225.4,False,False
대전대동초등학교,초,동구,206,13,1068.7,False,False
대전대룡초등학교,초,동구,208,13,1878.9,False,False
대전대암초등학교,초,동구,206,13,2009.4,False,False
대전동광초등학교,초,동구,209,13,950.6,False,True
대전동서초등학교,초,동구,208,13,1395.2,False,False
대전삼성초등학교,초,동구,207,13,746.2,False,True
대전성남초등학교,초,동구,208,13,957.3,False,True
대전신흥초등학교,초,동구,206,13,445.2,True,True
대전용운초등학교,초,동구,206,13,2566.5,False,False
대전용전초등학교,초,동구,212,2,315.2,True,True
대전은어송초등학교,초,동구,205,13,2572.1,False,False
대전자양초등학교,초,동구,208,13,704.5,False,True
대전천동초등학교,초,동구,205,13,924.7,False,True
대전판암초등학교,초,동구,205,13,2297.5,False,False
대전현암초등학교,초,동구,208,13,1602.0,False,False
대전흥룡초등학교,초,동구,209,13,175.1,True,True
동대전초등학교,초,동구,210,14,302.3,True,True
동명초등학교,초,동구,210,14,3629.8,False,False
산내초등학교,초,동구,205,13,5279.4,False,False
산흥초등학교,초,동구,204,12,9414.2,False,False
세천초등학교,초,동구,210,14,4248.6,False,False
대전글꽃초등학교,초,중구,240,12,391.5,True,True
대전대문초등학교,초,중구,240,12,1163.9,False,False
대전대신초등학교,초,중구,203,12,365.9,True,True
대전대흥초등학교,초,중구,203,12,762.5,False,True
대전동문초등학교,초,중구,240,12,170.1,True,True
대전목동초등학교,초,중구,202,12,1562.7,False,False
대전목양초등학교,초,중구,201,12,1803.0,False,False
대전문성초등학교,초,중구,237,10,924.7,False,True
대전문창초등학교,초,중구,205,13,106.6,True,True
대전문화초등학교,초,중구,238,11,730.5,False,True
대전버드내초등학교,초,중구,238,11,312.4,True,True
대전보성초등학교,초,중구,238,11,1228.4,False,False
대전보운초등학교,초,중구,205,13,448.4,True,True
대전산성초등학교,초,중구,236,10,1484.8,False,False
대전석교초등학교,초,중구,205,13,1405.8,False,False
대전선화초등학교,초,중구,207,13,900.6,False,True
대전신평초등학교,초,중구,238,11,761.7,False,True
대전오류초등학교,초,중구,201,12,503.0,False,True
대전옥계초등학교,초,중구,205,13,2188.8,False,False
대전원평초등학교,초,중구,239,12,484.3,True,True
대전유평초등학교,초,중구,201,12,1285.1,False,False
대전중앙초등학교,초,중구,202,12,967.7,False,True
대전중촌초등학교,초,중구,215,3,1642.3,False,False
대전태평초등학교,초,중구,238,11,603.3,False,True
산서초등학교,초,중구,204,12,5003.5,False,False
서대전초등학교,초,중구,202,12,699.2,False,True
대전성모초등학교,초,중구,202,12,231.7,True,True
가수원초등학교,초,서구,230,8,461.3,True,True
기성초등학교,초,서구,245,9,4194.9,False,False
기성초등학교길헌분교장,초,서구,245,9,4757.6,False,False
대전가장초등학교,초,서구,238,11,1515.1,False,False
대전갈마초등학교,초,서구,218,4,1235.4,False,False
대전갑천초등학교,초,서구,223,6,1133.6,False,False
대전관저초등학교,초,서구,229,8,825.9,False,True
대전구봉초등학교,초,서구,234,9,386.3,True,True
대전금동초등학교,초,서구,234,9,400.1,True,True
대전내동초등학교,초,서구,237,10,1741.9,False,False
대전느리울초등학교,초,서구,231,8,298.0,True,True
대전도마초등학교,초,서구,237,10,1566.0,False,False
대전도솔초등학교,초,서구,229,8,90.5,True,True
대전도안초등학교,초,서구,228,8,299.7,True,True
대전둔산초등학교,초,서구,217,4,699.3,False,True
대전둔원초등학교,초,서구,217,4,1636.7,False,False
대전둔천초등학교,초,서구,219,5,749.6,False,True
대전만년초등학교,초,서구,219,5,421.1,True,True
대전문정초등학교,초,서구,216,4,585.0,False,True
대전백운초등학교,초,서구,217,4,1659.0,False,False
대전변동초등학교,초,서구,237,10,943.1,False,True
대전복수초등학교,초,서구,236,10,620.8,False,True
대전봉산초등학교,초,서구,223,6,1850.4,False,False
대전삼천초등학교,초,서구,215,3,70.9,True,True
대전샘머리초등학교,초,서구,216,4,847.4,False,True
대전서부초등학교,초,서구,227,7,2193.0,False,False
대전서원초등학교,초,서구,216,4,405.7,True,True
대전선암초등학교,초,서구,234,9,386.4,True,True
대전선유초등학교,초,서구,232,8,589.5,False,True
대전성룡초등학교,초,서구,219,5,731.8,False,True
대전성천초등학교,초,서구,219,5,689.7,False,True
대전수미초등학교,초,서구,235,9,823.1,False,True
대전신계초등학교,초,서구,236,10,728.3,False,True
대전원앙초등학교,초,서구,229,8,794.8,False,True
대전월평초등학교,초,서구,223,6,479.3,True,True
대전유천초등학교,초,서구,237,10,1030.0,False,False
대전정림초등학교,초,서구,236,10,434.0,True,True
대전탄방초등학교,초,서구,216,4,1182.9,False,False
대전탄방초등학교용문분교장,초,서구,215,3,1514.7,False,False
대전호수초등학교,초,서구,228,8,215.2,True,True
한밭초등학교,초,서구,216,4,174.2,True,True
대전삼육초등학교,초,서구,236,10,701.0,False,True
구즉초등학교,초,유성구,244,1,5541.9,False,False
금성초등학교,초,유성구,222,6,2313.0,False,False
남선초등학교,초,유성구,245,9,5194.4,False,False
대덕초등학교,초,유성구,221,5,1170.5,False,False
대덕초등학교도룡분교장,초,유성구,220,5,1024.6,False,False
대전계산초등학교,초,유성구,225,7,3965.3,False,False
대전관평초등학교,초,유성구,244,1,3990.2,False,False
대전교촌초등학교,초,유성구,234,9,1606.5,False,False
대전노은초등학교,초,유성구,224,7,2017.7,False,False
대전대정초등학교,초,유성구,229,8,2136.8,False,False
대전동화초등학교,초,유성구,244,1,3733.4,False,False
대전두리초등학교,초,유성구,244,1,4671.9,False,False
대전둔곡초등학교,초,유성구,244,1,7649.4,False,False
대전반석초등학교,초,유성구,224,7,3647.4,False,False
대전배울초등학교,초,유성구,244,1,4107.8,False,False
대전복용초등학교,초,유성구,227,7,1556.1,False,False
대전봉명초등학교,초,유성구,225,7,528.7,False,True
대전상대초등학교,초,유성구,225,7,875.3,False,True
대전상원초등학교,초,유성구,226,7,988.9,False,True
대전상지초등학교,초,유성구,224,7,2089.0,False,False
대전새미래초등학교,초,유성구,224,7,3835.0,False,False
대전송강초등학교,초,유성구,244,1,4908.4,False,False
대전송림초등학교,초,유성구,224,7,2502.7,False,False
대전수정초등학교,초,유성구,224,7,2723.9,False,False
대전어은초등학교,초,유성구,223,6,622.7,False,True
대전용산초등학교,초,유성구,244,1,3165.7,False,False
대전원신흥초등학교,초,유성구,226,7,188.7,True,True
대전원신흥초등학교복용분교장,초,유성구,225,7,1302.3,False,False
대전자운초등학교,초,유성구,224,7,4911.7,False,False
대전장대초등학교,초,유성구,224,7,836.0,False,True
대전전민초등학교,초,유성구,244,1,1673.4,False,False
대전죽동초등학교,초,유성구,224,7,759.4,False,True
대전지족초등학교,초,유성구,224,7,2732.4,False,False
대전하기초등학교,초,유성구,224,7,2998.6,False,False
덕송초등학교,초,유성구,225,7,3649.1,False,False
문지초등학교,초,유성구,244,1,2411.7,False,False
봉암초등학교,초,유성구,224,7,586.2,False,True
외삼초등학교,초,유성구,224,7,4038.1,False,False
유성초등학교,초,유성구,224,7,1109.2,False,False
진잠초등학교,초,유성구,234,9,1370.9,False,False
학하초등학교,초,유성구,227,7,2920.6,False,False
흥도초등학교,초,유성구,227,7,580.7,False,True
대전대화중학교,중,대덕구,214,3,526.1,False,True
대전매봉중학교,중,대덕구,242,1,958.6,False,True
대전법동중학교,중,대덕구,242,1,601.9,False,True
대전송촌중학교,중,대덕구,242,1,1087.7,False,False
대전용전중학교,중,대덕구,213,3,490.2,True,True
신탄중앙중학교,중,대덕구,244,1,4135.7,False,False
오정중학교,중,대덕구,215,3,626.7,False,True
중리중학교,중,대덕구,242,1,682.1,False,True
회덕중학교,중,대덕구,244,1,371.8,True,True
대전경덕중학교,중,대덕구,212,2,972.8,False,True
신탄진중학교,중,대덕구,244,1,4826.0,False,False
대전가양중학교,중,동구,210,14,170.3,True,True
대전가오중학교,중,동구,205,13,2217.0,False,False
대전용운중학교,중,동구,206,13,2685.2,False,False
대전은어송중학교,중,동구,205,13,3003.1,False,False
동대전중학교,중,동구,209,13,879.8,False,True
동신중학교,중,동구,205,13,2229.8,False,False
충남중학교,중,동구,206,13,834.6,False,True
한밭여자중학교,중,동구,206,13,1283.9,False,False
한밭중학교,중,동구,207,13,742.0,False,True
대전대성여자중학교,중,동구,208,13,389.4,True,True
보문중학교,중,동구,207,13,1019.0,False,False
우송중학교,중,동구,208,13,638.2,False,True
대전글꽃중학교,중,중구,201,12,341.4,True,True
대전대문중학교,중,중구,240,12,1050.0,False,False
대전문화여자중학교,중,중구,240,12,350.9,True,True
대전여자중학교,중,중구,206,13,820.9,False,True
대전중학교,중,중구,203,12,775.1,False,True
대전태평중학교,중,중구,201,12,1242.6,False,False
충남여자중학교,중,중구,202,12,1023.5,False,False
대전대성중학교,중,중구,201,12,1345.9,False,False
대전동산중학교,중,중구,240,12,244.7,True,True
대전신일중학교,중,중구,205,13,928.2,False,True
대전중앙중학교,중,중구,202,12,1768.8,False,False
동명중학교,중,중구,205,13,1045.6,False,False
청란여자중학교,중,중구,204,12,751.8,False,True
호수돈여자중학교,중,중구,202,12,560.2,False,True
가수원중학교,중,서구,235,9,265.4,True,True
갈마중학교,중,서구,223,6,1572.1,False,False
기성중학교,중,서구,245,9,4171.6,False,False
대전갑천중학교,중,서구,219,5,1097.0,False,False
대전관저중학교,중,서구,230,8,827.3,False,True
대전괴정중학교,중,서구,217,4,1780.3,False,False
대전구봉중학교,중,서구,234,9,463.4,True,True
대전남선중학교,중,서구,219,5,790.1,False,True
대전내동중학교,중,서구,237,10,2273.2,False,False
대전느리울중학교,중,서구,231,8,700.7,False,True
대전도마중학교,중,서구,237,10,1338.0,False,False
대전도안중학교,중,서구,228,8,391.8,True,True
대전둔산중학교,중,서구,218,4,1060.7,False,False
대전둔원중학교,중,서구,217,4,1633.6,False,False
대전만년중학교,중,서구,219,5,514.0,False,True
대전문정중학교,중,서구,215,3,139.6,True,True
대전버드내중학교,중,서구,237,10,291.4,True,True
대전변동중학교,중,서구,237,10,1294.8,False,False
대전봉산중학교,중,서구,237,10,1933.2,False,False
대전봉우중학교,중,서구,234,9,366.6,True,True
대전삼천중학교,중,서구,216,4,328.1,True,True
대전서중학교,중,서구,217,4,2400.9,False,False
대전신계중학교,중,서구,236,10,699.3,False,True
대전월평중학교,중,서구,223,6,1176.9,False,False
대전정림중학교,중,서구,235,9,836.6,False,True
대전탄방중학교,중,서구,216,4,605.7,False,True
대전대신중학교,중,서구,237,10,945.6,False,True
대전삼육중학교,중,서구,236,10,701.0,False,True
동방여자중학교,중,서구,236,10,342.2,True,True
대덕중학교,중,유성구,221,5,543.6,False,True
대전관평중학교,중,유성구,244,1,3990.2,False,False
대전노은중학교,중,유성구,224,7,1748.4,False,False
대전덕명중학교,중,유성구,225,7,3610.9,False,False
대전동화중학교,중,유성구,244,1,3733.4,False,False
대전두리중학교,중,유성구,244,1,4671.9,False,False
대전둔곡중학교,중,유성구,244,1,7649.4,False,False
대전문지중학교,중,유성구,244,1,2399.7,False,False
대전봉명중학교,중,유성구,225,7,565.4,False,True
대전새미래중학교,중,유성구,224,7,3671.7,False,False
대전송강중학교,중,유성구,244,1,5333.3,False,False
대전어은중학교,중,유성구,223,6,725.2,False,True
대전외삼중학교,중,유성구,224,7,4145.7,False,False
대전원신흥중학교,중,유성구,227,7,147.8,True,True
대전자운중학교,중,유성구,224,7,4860.1,False,False
대전장대중학교,중,유성구,225,7,752.7,False,True
대전전민중학교,중,유성구,244,1,1704.7,False,False
대전지족중학교,중,유성구,224,7,2293.4,False,False
대전체육중학교,중,유성구,227,7,507.5,False,True
대전하기중학교,중,유성구,224,7,2732.2,False,False
유성중학교,중,유성구,226,7,965.9,False,True
진잠중학교,중,유성구,234,9,1045.3,False,False
성덕중학교,중,유성구,224,7,2039.1,False,False
